rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,angle_min,angle_max,angle_increment,time_increment,scan_time,range_min,range_max,ranges,intensities
1555425839961501474,,3541,,1555425839,961328029,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, 0.38199999928474426, inf, 1.7569999694824219]",[]
1555425839991921647,,3542,,1555425839,991738080,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840190456109,,3543,,1555425840,190294027,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840270070528,,3544,,1555425840,269887924,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840299313941,,3545,,1555425840,298145055,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[0.453000009059906, inf, 0.9869999885559082, inf]",[]
1555425840314914330,,3546,,1555425840,314296960,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, 0.3720000088214874, inf, 1.7710000276565552]",[]
1555425840333327051,,3547,,1555425840,333112001,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840349021775,,3548,,1555425840,348778963,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840374404185,,3549,,1555425840,374214887,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840392492178,,3550,,1555425840,391356945,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[0.46799999475479126, inf, 0.9639999866485596, inf]",[]
1555425840406046286,,3551,,1555425840,405395030,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, 0.3619999885559082, inf, 1.7769999504089355]",[]
