rosbagTimestamp,x,y,z,roll,pitch,yaw,front,back,up,left,right,zrange,deltaX,deltaY,outlierCount,accX,accY,accZ,gyroX,gyroY,gyroZ,ref_x,ref_y,ref_z,ref_roll,ref_pitch,ref_yaw
1555425813152775098,0.492845565081,-0.0768964588642,0.390418291092,0.00340182288815,-0.0613645828047,1.64471036548,1.208,0.808,3.256,1.291,0.532,0.387,0.0,-1.0,0.0,7.66238317966,1.79120651454,9.19511323392,0.0800688203453,-0.0942272832542,-0.0233487613534,-0.424845844507,-0.277998119593,-0.00646358774975,0.259686704697,0.276144348561,1.36534172435
1555425813172798767,0.493679255247,-0.0738277807832,0.388461560011,0.00437267020123,-0.059263049099,1.64486482882,1.208,0.808,3.064,1.293,0.525,0.388,1.0,-1.0,0.0,1.01211970031,0.46858332742,9.68438718975,-0.00290933028141,-0.144632267416,-0.0563302679157,-0.423971831799,-0.278842955828,-0.010462205857,0.254925001691,0.270934340158,1.36519939961
1555425813192699253,0.49389192462,-0.0689657777548,0.388013780117,-0.0001971727164,-0.0602343954948,1.6408348003,1.208,0.808,3.064,1.293,0.525,0.388,0.0,-3.0,0.0,0.546487462632,1.59519059658,9.71343440294,-0.13509498821,0.041091477066,-0.0692429748068,-0.423302859068,-0.27998867631,-0.0145900268108,0.202517755408,0.222264957045,1.36581593164
1555425813212656643,0.493898034096,-0.0648248195648,0.387834578753,-0.0001971727164,-0.0602343954948,1.6408348003,1.208,0.808,3.064,1.293,0.525,0.388,0.0,-4.0,0.0,-0.730216516703,2.91579009891,9.78952597439,-0.15993647216,0.0727171891233,-0.0807239829406,-0.42226216197,-0.281485587358,-0.0208463817835,0.17142535781,0.191092116754,1.36239639422
1555425813232729542,0.493070781231,-0.0611305385828,0.387978136539,-0.00634316233728,-0.0621040386097,1.63715377904,1.208,0.808,3.064,1.293,0.525,0.388,2.0,-4.0,0.0,4.7987046361,5.141450876,7.82564036429,-0.0825657585715,-0.100259484604,-0.0838977635578,-0.421697556973,-0.282287478447,-0.0252707172185,0.1658866821,0.185899814865,1.36224297774
1555425813253260152,0.494254738092,-0.0552348122001,0.387352794409,-0.00531633896711,-0.0606524493681,1.63706669368,1.208,0.808,3.064,1.293,0.525,0.388,2.0,-4.0,0.0,3.77845672131,7.19508072138,9.5078843075,0.0290489268521,-0.1826288184,-0.0856568230697,-0.420925348997,-0.284074723721,-0.0319094732404,0.118514408981,0.138141488714,1.36085348366
1555425813272845585,0.494999051094,-0.0505162291229,0.385539591312,-0.00478901694667,-0.0566880178351,1.63587306488,1.187,0.823,3.064,1.293,0.525,0.388,0.0,-5.0,0.0,6.34328056455,3.39991265774,10.9378226495,0.0296147799242,-0.310679379342,-0.0996161314633,-0.420363008976,-0.285091608763,-0.0362935326993,0.137779629317,0.148095000955,1.35944740962
1555425813292644721,0.495146691799,-0.0451706126332,0.384848088026,-0.00454932308588,-0.051259933773,1.63373787547,1.187,0.823,3.27,1.302,0.52,0.386,0.0,-5.0,0.0,2.03935269892,6.71590198338,9.26668315351,0.247975917266,-0.419524537437,-0.0633884520751,-0.419943869114,-0.286084622145,-0.0409699007869,0.115103859521,0.119043589752,1.3610436541
1555425813312584797,0.497130602598,-0.0409692712128,0.385078042746,0.00064637494392,-0.0417959996876,1.63419700444,1.187,0.823,3.27,1.302,0.52,0.386,0.0,-7.0,0.0,7.8826939863,4.93234684289,10.6340223742,0.0539186132623,-0.255555789716,-0.111602312128,-0.419366538525,-0.287853240967,-0.047780085355,0.0403999415201,0.0488892899365,1.36249176969
1555425813332620462,0.49737611413,-0.034123133868,0.384690970182,0.00302242620247,-0.0365101991679,1.63222932787,1.187,0.823,3.27,1.302,0.52,0.386,0.0,-5.0,0.0,4.1776177749,5.83103055954,7.69045449257,0.0240308093921,-0.226806150155,-0.114343453903,-0.419126063585,-0.288762897253,-0.0524582080543,0.0197588096101,0.0294365226878,1.36214988869
